feature,importance,std
lattice_c,0.15769773055321198,0.009804346825856012
sigma_is_coerced,0.07527050540497529,0.003993407241453185
ewald_energy_avg,0.06948326199071957,0.00786278223804968
magpie_emb_3,0.04885606028879903,0.0031358865956778847
magpie_emb_6,0.04798376588539083,0.0025661136233952396
magpie_emb_12,0.03661282284224919,0.002871227217022381
li_voronoi_cn_avg,0.03498291137809736,0.003170348626453675
density,0.03448507632892063,0.0021405085593707556
lattice_b,0.031451021185701214,0.0013742085981461186
lattice_a,0.02073864000086576,0.0013840852895480034
magpie_emb_8,0.017297599493210948,0.0017696707249725426
magpie_emb_19,0.01692179327437767,0.0009994416171982402
magpie_emb_18,0.015390699710427724,0.0014596510846127627
magpie_emb_15,0.015301834196933362,0.0009400923771909561
n_li_sites,0.013782530094810608,0.001456637447972468
magpie_emb_17,0.013771990088801533,0.00083970584761446
li_li_avg_dist,0.011066304835916552,0.0021173973504464293
framework_density,0.010970752547162843,0.001465500892322667
li_li_min_dist,0.010468372101693768,0.0014098096678953347
bv_mismatch_std,0.009920883689693927,0.0018268273622747825
magpie_emb_5,0.00989999100209612,0.0006249435612437407
bv_mismatch_avg,0.008502884112081444,0.0007773267428130863
sg_137,0.0072091276011920224,0.00046381114846730064
magpie_emb_10,0.0071516106430542185,0.00043216936353560395
total_elements,0.007100906595414324,0.0012819647710894686
magpie_emb_0,0.007033162957507855,0.0007494137785341936
magpie_emb_2,0.005972205179400114,0.00039942310215210127
angle_deviation_from_ortho,0.005208965710317271,0.0004423297890803346
ewald_energy_std,0.004634040616088697,0.0004498316493719056
magpie_emb_14,0.004137674599638941,0.0004853571256818737
anion_fraction,0.004057742623573913,0.00027737144102706084
lattice_anisotropy_bc_a,0.004005153782502824,0.00043188938401863137
volume_per_atom,0.003842445473369016,0.0003723533985730732
magpie_emb_4,0.003732773825171931,0.0004577366132703573
magpie_emb_1,0.0034558627170081734,0.0002732690330635785
magpie_emb_21,0.003278718379837653,0.0005976000929493009
lattice_anisotropy_max_min,0.003144093475254639,0.0002776234879120726
magpie_emb_7,0.0021177945090368857,0.00014079510689674746
magpie_emb_9,0.0016845538268241977,0.00014021561502690664
n_total_atoms,0.0012599643634799151,0.00022893423072349367
lattice_beta,0.0012185366773657558,0.0002716059664347904
magpie_emb_11,0.0010345906333833698,0.0002085981095152075
magpie_emb_20,0.0010044362805456397,0.0002154442426171698
li_coordination_avg,0.0009807262079006395,0.00035486584781229227
magpie_emb_13,0.0006578875303003384,9.939332780598407e-05
li_site_avg_multiplicity,0.0006413376397609305,0.00012701984259884126
li_anion_min_dist,0.0005341972974257203,7.498958033672596e-05
li_fraction,0.0003800509274293873,8.612936235178012e-05
li_fraction,0.0003800509274293873,8.612936235178012e-05
is_cubic_like,0.00020721040547843072,5.9602106028775525e-05
has_ewald_energy,0.00019682994797179943,4.853623632624311e-05
sg_211,0.0,0.0
sg_212,0.0,0.0
sg_213,0.0,0.0
sg_214,0.0,0.0
sg_215,0.0,0.0
sg_216,0.0,0.0
sg_217,0.0,0.0
sg_218,0.0,0.0
sg_219,0.0,0.0
sg_220,0.0,0.0
sg_221,0.0,0.0
smact_stoich_18,0.0,0.0
smact_stoich_19,0.0,0.0
smact_stoich_20,0.0,0.0
smact_stoich_21,0.0,0.0
smact_stoich_22,0.0,0.0
smact_stoich_23,0.0,0.0
smact_stoich_24,0.0,0.0
smact_stoich_25,0.0,0.0
smact_stoich_26,0.0,0.0
smact_stoich_27,0.0,0.0
smact_stoich_28,0.0,0.0
smact_stoich_29,0.0,0.0
smact_stoich_30,0.0,0.0
