feature,importance,std
sigma_is_coerced,0.26661738977117666,0.02293460058949456
lattice_c,0.24416000248015654,0.00994446858692994
ewald_energy_avg,0.22646096748434236,0.024016780591511164
magpie_emb_3,0.07066252499559154,0.006477059058938404
magpie_emb_12,0.04830428871881002,0.004523565626665683
li_voronoi_cn_avg,0.04520304060624066,0.00578983680639185
magpie_emb_6,0.0377139752411498,0.0044234770435556
magpie_emb_0,0.029062570261804654,0.0015400605827559889
lattice_b,0.028417486258968373,0.001731651401633239
magpie_emb_8,0.028382594219785486,0.0022096067095333104
magpie_emb_18,0.021689470732771575,0.002607310507474374
magpie_emb_7,0.021620548790452342,0.001868639175970632
anion_fraction,0.01423511305899534,0.001279869801936227
density,0.012559785031749472,0.0014701331284192871
magpie_emb_14,0.009201231029007018,0.0017856111373003999
lattice_a,0.008697841647465076,0.0007911903354176561
magpie_emb_13,0.007635478697301123,0.0007217603327760234
angle_deviation_from_ortho,0.007122051130805529,0.003042420396161115
framework_density,0.006787193648313983,0.0006171983440924809
magpie_emb_5,0.006669837224545417,0.0008275279145985325
magpie_emb_10,0.006533889608968035,0.0006705147506042667
magpie_emb_19,0.005799723742161556,0.0007495607165395457
bv_mismatch_avg,0.005693453839955054,0.0003974061347054719
magpie_emb_11,0.005446882434725131,0.0005342457394903629
li_li_avg_dist,0.004754380329721553,0.0005701188980614804
total_elements,0.0047141315635578105,0.0006690880819380083
ewald_energy_std,0.004305224761965732,0.0008979112983161863
volume_per_atom,0.0042184584501490765,0.0005156892235423852
magpie_emb_20,0.004103667647729192,0.0009144275632185403
n_total_atoms,0.003860354459643367,0.00094780776718419
magpie_emb_15,0.003315184088540979,0.0002556940176998053
n_li_sites,0.002641853626054169,0.0009657408122834089
li_anion_min_dist,0.0026086433489931004,0.00045811809863596846
magpie_emb_21,0.002204853477304558,0.0004984396345859695
magpie_emb_9,0.0021951755454381215,0.00045413699512154187
magpie_emb_17,0.0021859021498891406,0.00026481937595421173
bv_mismatch_std,0.0017499192703061216,0.00019900165998914835
magpie_emb_4,0.001504732325983682,0.00025165296865599986
li_coordination_avg,0.0013905785412921979,0.00026745148272240007
magpie_emb_16,0.001316063004241841,0.00019321327823212605
magpie_emb_2,0.0011752708880515383,0.00011412197256754305
lattice_beta,0.0010767909390775987,0.00022141438126969913
magpie_emb_1,0.0010044687143192731,0.00012807057798897343
lattice_anisotropy_bc_a,0.0009241265911425379,9.646912367681993e-05
li_fraction,0.000458074755577742,0.0001406028157708809
li_fraction,0.000458074755577742,0.0001406028157708809
li_concentration,0.0004255248226374575,5.3961705707108975e-05
li_site_avg_multiplicity,0.0002525442487701368,7.652898390981659e-05
li_li_min_dist,0.00019522365359133653,2.7511458266736697e-05
lattice_anisotropy_max_min,9.687460857213948e-05,1.6032555578695386e-05
smact_stoich_9,0.0,0.0
smact_stoich_8,0.0,0.0
smact_stoich_11,0.0,0.0
smact_stoich_10,0.0,0.0
smact_stoich_5,0.0,0.0
smact_stoich_4,0.0,0.0
smact_stoich_3,0.0,0.0
smact_stoich_2,0.0,0.0
smact_stoich_1,0.0,0.0
smact_stoich_0,0.0,0.0
smact_stoich_7,0.0,0.0
smact_stoich_6,0.0,0.0
smact_stoich_13,0.0,0.0
smact_stoich_12,0.0,0.0
smact_stoich_27,0.0,0.0
smact_stoich_26,0.0,0.0
smact_stoich_25,0.0,0.0
smact_stoich_24,0.0,0.0
smact_stoich_23,0.0,0.0
smact_stoich_22,0.0,0.0
smact_stoich_21,0.0,0.0
smact_stoich_20,0.0,0.0
smact_stoich_19,0.0,0.0
smact_stoich_18,0.0,0.0
smact_stoich_17,0.0,0.0
smact_stoich_16,0.0,0.0
